"title","score","release_date","platform"
"Batman: The Telltale Series - Episode 3: New World Order",74,"2016-10-25","ps4"
"Batman: The Telltale Series - Episode 4: Guardian of Gotham",73,"2016-11-22","ps4"
"Batman: The Telltale Series - Episode 5: City of Light",67,"2016-12-13","ps4"
"Battalion Commander",NA,"2016-12-01","ps4"
"Battle Ages",NA,"2016-04-20","ps4"
"Battle Chasers: Nightwar",75,"2017-10-03","ps4"
"Battle Garegga Rev.2016",NA,"2017-10-06","ps4"
"Battle Islands",NA,"2014-10-28","ps4"
"Battle Islands: Commanders",NA,"2017-02-14","ps4"
"Battle of the Bulge",NA,"2017-11-22","ps4"
"Battle Trivia Knockout",51,"2015-09-22","ps4"
"Battle Worlds: Kronos",62,"2016-04-26","ps4"
"Battleborn",68,"2016-05-03","ps4"
"Battleborn - Attikus and the Thrall Rebellion",NA,"2016-10-13","ps4"
"Battlefield 1",89,"2016-10-18","ps4"
"Battlefield 1: Apocalypse",NA,"2018-02-20","ps4"
"Battlefield 1: Giant's Shadow",NA,"2016-12-13","ps4"
"Battlefield 1: In the Name of the Tsar",NA,"2017-09-05","ps4"
"Battlefield 1: Revolution",NA,"2017-08-21","ps4"
"Battlefield 1: They Shall Not Pass",NA,"2017-03-14","ps4"
"Battlefield 1: Turning Tides",NA,"2018-02-13","ps4"
"Battlefield 4",85,"2013-11-12","ps4"
"Battlefield 4: China Rising",NA,"2013-12-03","ps4"
"Battlefield 4: Community Operations",NA,"2015-10-27","ps4"
"Battlefield 4: Dragon's Teeth",NA,"2014-07-15","ps4"
"Battlefield 4: Final Stand",NA,"2014-11-18","ps4"
"Battlefield 4: Legacy Operations",NA,"2015-12-15","ps4"
"Battlefield 4: Naval Strike",NA,"2014-04-15","ps4"
"Battlefield 4: Night Operations",NA,"2015-09-01","ps4"
"Battlefield 4: Premium Edition",NA,"2014-10-21","ps4"
"Battlefield 4: Second Assault",NA,"2014-03-04","ps4"
"Battlefield Hardline",73,"2015-03-17","ps4"
"Battlefield Hardline: Criminal Activity",NA,"2015-06-30","ps4"
"Battlefield Hardline: Getaway",NA,"2016-01-26","ps4"
"Battlefield Hardline: Robbery",NA,"2015-09-16","ps4"
"Battleship",NA,"2016-08-16","ps4"
"Battlestar Galactica Deadlock",76,"2017-12-08","ps4"
"Battlezone",66,"2016-10-13","ps4"
"Battlezone: Gold Edition",NA,"2018-05-01","ps4"
"Beach Buggy Racing",NA,"2015-05-29","ps4"
"Bears Can't Drift!?",53,"2016-08-30","ps4"
"Beast Quest",33,"2018-03-13","ps4"
"Bedlam: The Game by Christopher Brookmyre",53,"2015-10-13","ps4"
"Beholder: Complete Edition",63,"2018-01-16","ps4"
"Ben 10",56,"2017-11-14","ps4"
"Berserk and the Band of the Hawk",66,"2017-02-21","ps4"
"Best of Arcade Games",NA,"2015-01-20","ps4"
"Beyond Eyes",52,"2015-09-08","ps4"
"Beyond: Two Souls",72,"2015-11-24","ps4"
"Big Buck Hunter Arcade",NA,"2016-10-25","ps4"
"Big City Stories",NA,"2016-08-23","ps4"
"Binaries",71,"2016-08-30","ps4"
"BioShock: 10th Anniversary Edition",NA,"2017-11-14","ps4"
"BioShock: The Collection",84,"2016-09-13","ps4"
"Birthdays the Beginning",65,"2017-05-09","ps4"
"Bit Dungeon+",NA,"2018-03-27","ps4"
"Bit.Trip Presents...Runner2: Future Legend of Rhythm Alien",NA,"2016-02-26","ps4"
"Black & White Bushido",67,"2017-05-17","ps4"
"Black Mirror",54,"2017-11-28","ps4"
"Black The Fall",66,"2017-07-11","ps4"
"Blackguards 2",NA,"2017-09-19","ps4"
"BLACKHOLE: Complete Edition",NA,"2017-08-08","ps4"
"Blacklight: Retribution",58,"2013-11-15","ps4"
"Blackwood Crossing",71,"2017-04-04","ps4"
"Blade & Bones",NA,"2017-05-09","ps4"
"Blade Ballet",NA,"2016-08-09","ps4"
"Bladestorm: Nightmare",58,"2015-03-17","ps4"
"Blast 'Em Bunnies",NA,"2016-03-08","ps4"
"Blasters of the Universe",76,"2018-02-27","ps4"
"Blasting Agent: Ultimate Edition",NA,"2017-06-20","ps4"
"BlazBlue: Central Fiction",84,"2016-11-01","ps4"
"BlazBlue: Chrono Phantasma Extend",80,"2015-06-30","ps4"
"BlazBlue: Cross Tag Battle",NA,"2018-06-05","ps4"
"BlazBlue: Cross Tag Battle - DLC Character Pack 1",NA,"2018-06-05","ps4"
"BlazeRush",NA,"2015-12-16","ps4"
"Bleed",75,"2017-08-22","ps4"
"Bleed 2",81,"2018-02-06","ps4"
"Blood Bowl 2",72,"2015-09-22","ps4"
